sample_id,m_hot_kg_s,m_cold_kg_s,cp_hot_J_kgK,cp_cold_J_kgK,UA_W_K,T_hot_in_C,T_cold_in_C,Q_kW,T_hot_out_C,T_cold_out_C,effectiveness,NTU,LMTD_K,split
53,0.461574,1.26206,2620.82,2660.84,7731.57,158.695,42.9251,138.536,44.1737,84.1788,0.989215,6.39132,17.9182,train
54,0.287616,1.88162,2333.3,3447.44,127.043,80.5831,56.9854,2.70853,76.5471,57.4029,0.171033,0.189307,21.3198,train
55,1.2846,0.516184,1090.74,3578.56,129.608,281.684,26.3516,30.6029,259.843,42.9188,0.0855397,0.0925005,236.119,train
56,1.61896,2.0514,1944.39,3732.07,252.171,101.939,17.8037,20.0779,95.5608,20.4262,0.075809,0.080108,79.6203,train
57,0.17697,2.46315,2520.8,2482.24,11962,148.709,52.8562,42.7606,52.8562,59.8499,1,26.8143,3.5747,train
58,1.87395,0.0755944,3367.92,1212.54,396.373,268.623,48.14,19.9289,265.465,265.558,0.986101,4.3243,50.2782,test
59,0.552727,0.288873,2070.91,1897.32,2105.85,195.787,23.1395,87.5077,119.338,182.8,0.924777,3.8422,41.5545,train
60,0.250591,2.83141,3771.61,1726.61,462.958,241.83,42.2656,70.7836,166.937,56.7445,0.375282,0.489834,152.894,train
61,0.292144,0.105767,3884.39,2540.69,142.597,244.774,12.0229,24.7354,222.977,104.072,0.395483,0.530653,173.463,train
62,0.0867401,0.427438,2075.43,3941.55,8652.7,136.437,24.7505,20.1061,24.7505,36.6845,1,48.0644,2.32367,train
63,0.529649,2.24782,1161.6,2749.02,102.831,90.7246,39.3343,4.83143,82.8718,40.1162,0.152809,0.167138,46.9843,test
64,3.531,0.0881527,1515.24,1327.37,16904.6,140.451,6.0206,15.7299,137.511,140.451,1,144.47,0.930513,train
65,0.354991,2.12997,1157.09,3327.23,6713.44,185.025,35.6979,61.3369,35.6979,44.3529,1,16.3441,9.13644,train
66,0.084661,0.0611822,3535.22,2473.99,1242.23,136.637,31.4916,15.7778,83.92,135.729,0.991368,8.20691,12.7012,test
67,3.03883,2.89757,3258.48,3512.86,447.218,124.563,59.2148,27.9784,121.737,61.9635,0.0432382,0.0451645,62.5609,train
68,0.0516517,0.189545,2395.99,2923.37,347.802,140.031,21.7167,13.327,32.3438,45.7679,0.910179,2.81036,38.3178,train
69,0.0683356,0.130693,2606.45,2198.92,17166.7,172.632,39.1892,23.7679,39.1892,121.894,1,96.3807,1.38454,train
70,0.309437,0.127433,2610.93,2260.05,6728.51,163.028,6.85931,44.9777,107.357,163.028,1,23.3624,6.68464,train
71,0.0828076,1.11575,1102.23,1521.74,2066.42,157.521,14.3261,13.0698,14.3261,22.0238,1,22.64,6.32486,train
72,0.0986882,1.08337,2934.52,3661.22,196.186,288.795,14.1957,38.588,155.55,23.9243,0.485233,0.677432,196.691,train
73,0.715551,0.453911,3548.04,1143.42,6050.25,288.084,49.2825,123.931,239.269,288.066,0.999925,11.6573,20.4836,train
74,0.21674,0.69967,3737.37,1773.43,2897.19,235.864,31.0085,145.429,56.3301,148.213,0.876393,3.57662,50.1965,train
75,0.380061,0.158127,1957.89,2181.56,11775.4,172.126,23.7573,51.1821,103.344,172.126,1,34.1351,4.34652,train
76,0.145946,1.70996,1735.2,1131.02,3900.6,178.552,43.3767,34.2323,43.3769,61.077,0.999999,15.4025,8.77617,test
77,0.648495,0.224863,1868.43,3584.78,18931.4,82.9508,29.5751,43.0197,47.4462,82.9439,0.999871,23.4856,2.2724,train
78,0.0776564,0.631062,2727.46,3970.82,393.813,129.493,49.5786,14.0573,63.1233,55.1884,0.830508,1.85932,35.6953,test
79,0.676718,0.277908,2637.49,2856.43,191.465,226.336,11.9389,34.9142,206.775,55.9211,0.205143,0.241192,182.353,train
80,1.04162,1.24184,1075.48,1037.6,1897.95,94.5578,41.4654,38.941,59.7964,71.6866,0.654734,1.69423,20.5175,train
81,0.38594,0.458341,1538.74,1986.97,505.999,265.12,59.2559,60.8758,162.612,126.1,0.497942,0.85205,120.308,train
82,0.0735835,0.363761,3329.03,3293.27,7869,156.215,35.2926,29.6213,35.2926,60.019,1,32.1234,3.76431,train
83,0.238938,1.41752,1952.94,1417.7,2193.05,83.8772,27.3875,25.808,28.5701,40.2298,0.979066,4.69975,11.7681,test
84,3.85594,1.96511,1942.45,2287.9,511.366,258.258,6.77536,117.854,242.523,32.9886,0.104235,0.113739,230.469,test
85,0.19093,1.02122,2724.39,3534.48,1675.32,108.194,59.3261,24.0252,62.0069,65.9822,0.945142,3.22073,14.3407,train
86,1.63167,1.11866,2107.4,1146.66,134.802,138.063,28.0524,13.827,134.041,38.8318,0.0979858,0.105091,102.573,train
87,2.2074,4.36883,1886.3,1333.01,195.062,281.164,35.7155,46.0279,270.109,43.6191,0.0450371,0.0468469,235.966,train
88,0.573677,0.0801258,1670.63,2785.54,142.679,108.247,54.7965,5.39331,102.62,78.9607,0.452086,0.639262,37.8003,train
89,0.0785847,1.21101,2425.37,2721.29,6576.48,111.096,29.5602,15.5405,29.5602,34.2759,1,34.5046,2.36304,train
90,0.211895,0.582435,3778.8,1481.48,4109.72,276.906,38.5736,164.367,71.629,229.063,0.861305,5.1326,39.9947,train
91,0.104191,1.29276,3017.77,2337.8,464.506,105.43,59.1922,10.9725,70.5329,62.8228,0.75473,1.47732,23.6219,test
92,0.583653,0.0839303,2402.75,3231.05,2116.19,232.157,6.43325,61.1213,188.573,231.821,0.99851,7.80356,28.8827,train
93,0.0704182,0.820292,4016.05,3680.63,271.614,242.366,39.9265,34.6352,119.895,51.3982,0.604977,0.960437,127.516,train
94,0.289067,0.131535,3006.91,2865.94,164.105,170.251,5.27517,20.5549,146.603,59.8015,0.330511,0.435323,125.255,train
95,3.39589,0.192665,2755.81,2096.58,910.575,238.767,9.5501,82.2896,229.974,213.269,0.88876,2.25424,90.371,train
96,4.10316,2.48841,2900.38,1113.06,14544.1,168.193,5.51184,444.407,130.85,165.962,0.986291,5.25108,30.5557,train
97,0.134559,0.68569,3389.87,3712.77,12013.8,284.34,35.1437,113.668,35.1437,79.7928,1,26.338,9.46149,train
98,0.514128,0.141474,3264.95,2250.22,1112.09,229.262,54.0458,53.0842,197.638,220.795,0.951678,3.49333,47.7337,train
99,0.376142,1.73169,1631.64,1035.45,11577.4,105.687,8.74533,59.4955,8.74559,41.9259,0.999997,18.8641,5.13892,train
100,3.84929,0.0686999,2322.72,2733.9,641.849,163.655,23.0143,25.503,160.803,158.799,0.965476,3.41739,39.7336,train
101,0.0514341,1.2245,3572.39,1169.52,3946.05,81.0255,46.8931,6.27158,46.8931,51.2725,1,21.4759,1.58933,test
102,3.52871,0.0557143,3783.16,1175.29,7273.76,244.7,59.8558,12.1037,243.793,244.7,1,111.083,1.66402,train
103,4.33049,1.24837,2336.54,2537.33,136.262,92.4695,59.6201,4.35288,92.0393,60.9944,0.0418341,0.0430187,31.9448,train
104,0.138642,0.0826581,2163.18,1034.52,5359.55,96.7932,41.4623,4.73142,81.017,96.7932,1,62.6766,0.882801,train
105,0.73006,0.183983,1496.35,2348.28,1472.15,223.601,22.3182,79.9055,150.455,207.266,0.918847,3.40741,54.278,test
106,0.117983,0.0606612,3993.47,2715.71,1789.2,87.1046,28.6038,9.63197,66.6617,87.0721,0.999443,10.8609,5.3834,train
107,3.98469,0.219368,1730.5,1400.16,282.374,236.415,50.9234,33.9317,231.494,161.396,0.595569,0.919337,120.166,train
108,1.22025,0.329415,2400.66,2257.86,471.537,275.219,59.4035,71.8653,250.686,156.026,0.44771,0.63398,152.406,train
109,3.22514,1.68397,2321.05,3781.61,1419.37,256.363,12.8543,286.51,218.089,57.8457,0.184763,0.222887,201.857,train
110,2.23709,4.86565,4078.82,2903.48,4338.68,278.252,47.6665,717.847,199.581,98.4792,0.341179,0.475487,165.453,train
111,4.27165,2.73186,1866.17,1131.58,746.589,286.151,30.4182,163.269,265.67,83.2332,0.206524,0.24151,218.686,train
112,0.429976,0.136492,3063.12,2325.89,198.419,214.676,11.5072,28.6614,192.915,101.789,0.444369,0.62501,144.449,train
113,0.257023,1.28821,1331.5,2063.47,778.866,256.998,54.1371,60.9468,78.9091,77.0652,0.877887,2.27588,78.2507,test
114,0.564251,0.0644833,3263.71,3853.66,1020.43,216.005,25.3649,46.1943,190.92,211.26,0.975112,4.10642,45.2695,train
115,1.03915,0.179395,3587.9,1567.57,18472.3,127.79,41.7796,24.1874,121.303,127.79,1,65.6876,1.30939,test
116,0.171516,1.50239,1949.33,3123.58,2463.35,275.154,34.7686,80.2911,35.0068,51.8778,0.999009,7.36779,32.5942,test
117,0.430867,1.24398,1080.29,1591.8,353.046,275.356,46.0008,54.116,159.093,73.3299,0.506913,0.758487,153.283,train
118,2.45134,3.3978,1340.39,2647.66,782.716,276.134,58.0493,146.583,231.522,74.3432,0.204562,0.238215,187.275,train
119,0.13788,4.15846,2226.6,1858.83,1431.79,180.932,22.4605,48.1209,24.1885,28.6858,0.989096,4.66375,33.609,train
120,2.36544,0.713395,3781.8,1965.13,564.812,260.848,51.5212,95.1465,250.212,119.39,0.324225,0.402887,168.457,train
121,0.929059,0.0716277,3155.69,2234.56,1075.6,222.675,13.9228,33.3572,211.298,222.331,0.998354,6.72012,31.0126,train
122,4.8312,0.276643,3028.93,3232.82,4006.71,119.865,12.285,94.8659,113.382,118.359,0.985996,4.48008,23.6767,train
123,0.426466,3.68888,1509.25,3413.07,295.175,188.916,25.8239,38.3057,129.403,28.8664,0.364908,0.458599,129.773,train
124,0.0615053,0.191984,3708.5,3974.28,2420.96,167.26,16.0444,34.4769,16.1066,61.2305,0.999589,10.6139,14.241,train
125,0.331101,0.763766,2922.38,3007.23,231.601,132.693,20.0025,22.2748,109.673,29.7006,0.204282,0.239356,96.1775,test
126,1.08909,1.41835,1001.91,1553.36,1366.51,252.527,8.48849,169.334,97.3399,85.3465,0.635912,1.25234,123.917,train
127,0.204772,1.37616,2178.02,3049.73,1869.87,164.205,33.9337,56.873,36.687,47.4849,0.978866,4.19254,30.4155,train
128,2.01825,0.0515836,2852.1,3368.25,283.172,109.63,59.8275,6.91474,108.429,99.6254,0.799115,1.6298,24.4189,train
129,0.297891,0.128503,3664.59,4129.51,3568.59,169.221,45.0218,64.8211,109.842,167.175,0.983529,6.72489,18.1643,train
130,2.03962,0.0531466,3544.22,2193.18,787.583,290.965,30.2421,30.3512,286.767,290.633,0.998724,6.75687,38.5371,train
131,0.0813575,0.0605214,1021.56,1755.88,3404.97,144.393,58.2784,7.15691,58.2809,125.626,0.999971,40.9686,2.1019,train
132,0.790508,0.290524,3084.19,2177.23,16307.5,269.754,49.306,139.442,212.561,269.754,1,25.7811,8.55077,train
133,0.253028,0.129463,3746.76,3321.91,17281.6,82.6037,8.85489,31.7168,49.1484,82.6037,1,40.1837,1.83529,train
134,1.16243,1.89992,3592.38,1215.51,551.024,252.259,36.2761,100.328,228.233,79.7202,0.201146,0.238605,182.075,train
135,1.58548,0.691939,2491.03,2558.45,18172.2,99.3264,59.1724,70.9479,81.3625,99.2494,0.998083,10.2651,3.9042,train
136,0.142375,0.469829,2479.02,1100.17,613.639,131.042,58.749,17.8297,80.5261,93.243,0.698767,1.7386,29.0556,train
137,2.75099,1.4807,3545.65,2751.42,1199.9,125.761,18.7551,106.006,114.893,44.7751,0.243164,0.294525,88.3458,train
138,0.130005,2.88978,1036.36,3923.33,2789.73,181.509,39.91,19.0779,39.91,41.5927,1,20.7057,6.83862,train
139,1.84059,0.298266,2800.16,2101.9,515.598,146.638,40.5729,36.3526,139.585,98.5586,0.546699,0.822425,70.5058,train
140,0.113859,1.72402,3786.6,2611.6,4789.85,190.968,26.9242,70.7229,26.9306,42.6318,0.999961,11.1098,14.7652,train
141,0.396591,1.91575,2239.85,2330.88,3159.1,217.368,56.3015,136.362,63.8605,86.8391,0.953069,3.55632,43.1648,train
142,0.144392,3.00536,1326.59,1416.82,8903.1,104.387,18.1669,16.5154,18.1669,22.0456,1,46.4794,1.85502,test
143,0.578414,4.92608,1257.52,1135.78,6641.98,284.529,29.8938,185.156,29.9724,62.9874,0.999691,9.13154,27.8767,train
144,0.108082,0.866225,2397.63,1625.81,1490.17,297.809,19.9345,71.4692,22.0162,70.6825,0.992508,5.75041,47.9605,train
145,1.91696,0.0585094,1306.12,3388.6,692.919,266.971,11.4562,48.7863,247.486,257.523,0.963024,3.49492,70.407,train
146,0.324701,4.33783,2535.74,3937.38,994.012,173.058,28.9435,82.3088,73.0906,33.7626,0.693666,1.20727,82.8046,test
147,0.0806311,0.108674,3208.42,2114.61,1395.2,296.711,9.73352,59.1397,68.1068,267.084,0.896761,6.07131,42.388,train
148,0.472299,0.217874,3927.3,3203.43,739.735,289.251,5.75967,118.782,225.213,175.948,0.600328,1.05988,160.573,test
149,2.21716,0.222015,3365.37,3390.87,412.176,266.639,32.6303,72.988,256.857,129.583,0.414312,0.547508,177.08,train
150,0.420985,0.0537117,3458.78,1690.57,278.861,114.954,56.3761,5.03801,111.494,111.859,0.947155,3.07103,18.0664,train
151,1.88153,0.463665,3556.32,3694.58,4570.22,164.575,55.5852,166.924,139.629,153.028,0.894051,2.66789,36.5243,train
152,0.177492,1.45349,3467.89,1548.19,2063.39,107.31,30.7581,44.0481,35.7476,50.3326,0.934822,3.35226,21.3474,train
153,0.227201,0.176269,2729.26,1174.55,5911.69,230.306,33.6915,40.7067,164.66,230.306,1,28.5536,6.8858,train
154,0.442082,1.7174,2908.29,3200.07,297.571,162.789,43.5172,30.9861,138.689,49.1554,0.202063,0.231446,104.13,train
155,0.139071,0.186528,1581.02,4066.49,261.942,283.871,7.98157,39.5491,103.999,60.1216,0.651972,1.19133,150.984,test
156,3.9938,0.260281,4166.75,3008.2,176.962,119.814,22.365,15.3671,118.89,41.9916,0.201404,0.226013,86.8385,train
157,0.228174,2.32601,2399.72,2795.9,967.615,158.631,54.1216,46.66,73.4153,61.2964,0.815388,1.76716,48.2217,train
158,1.14832,1.68092,3321.5,4183.78,8360.26,279.549,35.6809,735.278,86.7725,140.234,0.790495,2.19191,87.9492,test
159,0.245006,1.94306,1803.9,2289.44,4469.68,259.41,35.9156,98.7671,35.9379,58.1179,0.9999,10.1132,22.0971,train
160,0.379473,0.293044,3890.75,3662.18,6456.01,126.34,59.7526,67.0687,80.914,122.248,0.938542,6.01577,10.3886,train
161,1.98162,0.0675868,1524.28,3198.55,4529.11,99.3922,29.4788,15.1138,94.3885,99.3922,1,20.9507,3.33704,train
162,0.0589271,1.09719,1246.84,2331.53,5803.71,256.271,25.6018,16.9479,25.6018,32.2268,1,78.9912,2.92019,train
163,0.0547495,0.285134,1010.52,4148.01,162.614,247.753,43.1077,10.6651,54.9831,52.125,0.941971,2.93923,65.5851,train
164,4.44721,0.211751,2134.45,1517.68,1507.85,133.461,32.5608,32.0895,130.081,132.413,0.989613,4.69195,21.2816,train
165,0.323781,0.552275,3419.64,2858.11,325.098,93.8376,59.9051,8.82209,85.8697,65.4941,0.234814,0.293619,27.1367,test
166,0.493863,0.600195,2912.35,4145.67,395.594,294.651,45.5515,80.8959,238.407,78.0633,0.225789,0.275042,204.492,train
167,0.934474,0.430478,2326.26,4086.03,1072.91,200.071,50.9028,103.062,152.661,109.496,0.392797,0.609972,96.0583,test
168,0.421806,0.974123,1620.71,1240.75,1305.86,129.225,34.8576,48.2873,58.5914,74.8091,0.748496,1.91019,36.9774,test
169,1.74564,0.187311,1166,3097.08,10030.4,205.132,16.4922,109.433,151.368,205.132,0.999997,17.2903,10.9102,train
170,0.323139,0.284479,1061.12,3484.18,708.772,103.408,13.0413,25.2269,29.8367,38.4927,0.814143,2.06707,35.5923,train
171,0.0734689,0.0588256,4049.51,3163.82,198.967,171.156,56.8528,12.0827,130.543,121.774,0.567976,1.06906,60.7272,train
172,3.3689,0.241276,3750.92,1550.67,12854,203.224,22.2525,67.7086,197.865,203.224,1,34.356,5.26752,train
173,0.361668,0.255427,1320.99,2841,966.941,281.66,43.2564,84.8219,104.119,160.144,0.744706,2.0239,87.722,train
174,2.04039,0.106194,1209.78,1079.11,19416.6,98.603,32.7841,7.54251,95.5474,98.603,1,169.437,0.388456,train
175,0.421305,0.624916,3112.92,2921.33,420.247,218.19,7.76934,69.3018,165.348,45.7308,0.251125,0.320435,164.907,test
176,3.35884,0.181881,2559.05,3789.08,4804.62,230.833,48.8818,125.204,216.266,230.558,0.998491,6.97168,26.0592,train
177,0.454199,1.75303,1975.13,3498.25,1570.95,230.34,52.7419,127.786,87.8961,73.5793,0.802057,1.75114,81.3433,test
178,0.243208,1.47762,2037.48,3206.14,668.148,228.34,50.8542,63.643,99.9054,64.2882,0.723632,1.34835,95.2529,train
179,2.3043,0.0579274,3052.46,1740.78,9519.44,280.822,26.1101,25.6849,277.17,280.822,1,94.4022,2.69815,train
180,0.071832,0.604199,2930.37,3708.89,6233.29,183.081,13.4552,35.7053,13.4552,29.3886,1,29.6126,5.72815,train
181,1.17679,0.548399,3144.73,1316.14,343.624,292.657,17.0558,73.0351,272.921,118.245,0.367158,0.476087,212.544,train
182,0.0773319,2.65356,1171.5,1329.28,2318.69,283.013,20.9693,23.7396,20.9693,27.6995,1,25.5943,10.2384,train
183,0.126243,0.168966,2080.13,4181.03,6696.92,255.288,30.8453,58.9392,30.8453,114.275,1,25.5021,8.80093,train
184,2.69464,0.387984,3305.78,2970.9,6999.87,207.071,57.0923,172.113,187.749,206.41,0.995594,6.07279,24.588,train
185,0.401673,0.0516993,1399.18,1355.56,8907.82,221.177,44.1243,12.4081,199.099,221.177,1,127.107,1.39294,train
186,0.520422,1.12296,1441.62,4107.25,739.178,167.33,57.8013,49.7051,101.079,68.5779,0.604876,0.985243,67.2437,train
187,0.14325,0.246827,1807.47,1030.27,131.422,251.331,8.30284,21.1211,169.758,91.359,0.341755,0.5168,160.712,test
188,0.158802,0.248725,4196.03,3593.15,6466.14,238.113,31.4333,134.552,36.1865,181.988,0.977002,9.70398,20.8087,train
189,2.66575,1.05767,1687.41,1321.97,160.542,263.804,40.965,33.255,256.411,64.7489,0.106732,0.11482,207.142,train
190,0.210067,0.0650258,1524.87,3037.71,220.133,162.456,12.1774,17.2659,108.555,99.5867,0.581648,1.11443,78.434,test
191,3.72648,0.371216,2170.93,1249.31,118.877,230.966,34.6551,20.4642,228.436,78.7814,0.224778,0.256331,172.146,train
192,0.0688408,1.35922,1562.72,1214.24,510.234,168.637,6.84894,17.2116,8.64558,17.2775,0.988895,4.74289,33.7328,train
193,0.428021,0.975814,2332.02,3600.26,11092.1,284.28,12.0513,271.658,12.1197,89.3766,0.999749,11.1126,24.4911,train
194,0.205328,0.92852,1102.7,2345.51,10835,178.644,51.8852,28.7001,51.8852,65.0633,1,47.8544,2.64883,train
195,0.549975,0.285003,2891.08,1667.84,12233.7,102.736,15.7111,41.3664,76.72,102.736,1,25.7369,3.38134,train
196,1.65001,0.322517,2472.7,2736.72,435.705,87.1332,27.7281,19.7181,82.3003,50.0681,0.376062,0.493639,45.2557,train
197,0.28551,0.105365,2510.7,4131.83,387.996,213.213,10.2638,45.6105,149.585,115.032,0.516227,0.891232,117.554,test
198,0.166266,0.30375,3724.39,2774.26,1178.76,289.832,19.3726,119.299,97.1778,160.943,0.712322,1.90356,101.207,train
199,2.8365,1.55733,3341.64,3421.1,8833.66,183.871,46.0702,520.531,128.954,143.771,0.709002,1.65804,58.9258,train
200,0.0976912,0.779387,2454.16,4167.91,7809.39,172.836,5.89309,40.0243,5.89309,18.2143,1,32.5732,5.12515,train
201,0.0965568,1.87352,3460.45,2391.75,184.938,135.216,25.5798,15.3704,89.2146,29.01,0.419582,0.553492,83.1111,train
202,3.78333,4.42768,4107.78,3850.84,4578.07,200.85,56.8089,514.536,167.741,86.9865,0.229853,0.294579,112.392,train
203,0.0565791,0.827621,3414,2378.66,16941.7,100.851,58.0575,8.266,58.0575,62.2564,1,87.7077,0.487908,train
204,0.0606829,0.145559,3221.83,3411.86,2043.22,81.5295,37.8518,8.53028,37.8987,55.0282,0.998926,10.4507,4.17491,train
205,0.144841,2.01053,1588.73,2358.49,10438.7,158.17,23.1297,31.0745,23.1297,29.683,1,45.3633,2.97686,train
206,1.68362,1.77434,3391.83,3734.25,274.144,273.192,13.5629,68.1307,261.262,23.8455,0.0459526,0.0480064,248.522,test
207,0.176415,0.739046,4050.99,3536.07,100.675,154.869,15.8547,12.833,136.912,20.7653,0.129173,0.140872,127.47,train
208,0.542907,1.77724,2483.27,1498.06,3062.24,258.34,53.9367,222.482,93.3167,137.501,0.807342,2.27138,72.6535,train
